"app_id";"page_id";"parent_id";"is_hidden";"is_reset";"order#";"col_id"
710;0;"";"";"";666;""
710;100;"";"";"";1;""
710;105;100;"Y";"Y";"";""
710;200;"";"";"Y";200;""
710;210;200;"";"Y";10;""
710;300;"";"";"Y";300;""
710;310;300;"";"Y";10;""
710;320;300;"";"Y";15;""
710;340;300;"";"Y";20;""
710;400;"";"";"Y";400;""
